,1,32,47,50,110,150,260,293,296,318,356,364,457,480,527,541,589,593,608,750,778,858,912,1036,1080,1089,1097,1136,1193,1196,1197,1198,1200,1206,1208,1210,1213,1214,1221,1222,1240,1246,1258,1265,1270,1291,1527,1580,1617,1682,1704,1732,1961,2028,2291,2329,2502,2571,2716,2762,2858,2959,2997,3147,3578,3793,3996,4011,4027,4226,4306,4878,4886,4963,4973,4993,4995,5349,5418,5445,5952,5989,6377,6539,6711,6874,7153,7361,7438,8961,32587,33794,44191,48516
75,,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,1.0,,,
78,,1.0,,,,,,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,1.0,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,
175,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,
190,1.0,,,,1.0,1.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,1.0,,,1.0,,1.0,,
267,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,
325,1.0,,,1.0,,,,,,1.0,,1.0,,1.0,,,1.0,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0
383,,,,1.0,,,1.0,,1.0,1.0,,,1.0,,,1.0,,1.0,1.0,,,1.0,,,,,,,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,
476,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,
477,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,1.0,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,1.0,,,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0
